Year	Fire Name	State	Total Acres
2004	Taylor Highway Complex (7 fires)	AK	1,303,358
2006	East Amarillo Complex (2 fires)	TX	907,245
2004	Solstice Complex (19 fires)	AK	812,771
2017	NW Oklahoma Complex (3 fires)	OK	779,292
2004	Eagle Complex (16 fires)            	AK	663,305
2017	Starbuck (part of NW Oklahoma Complex)	OK	662,700
2007	Murphy Complex(6 fires)	ID	652,016
2009	Railbelt Complex (4 fires)	AK	636,224
1997	Inowak	AK	610,000
2004	Central Complex (7 fires)	AK	574,709
2012	Long Draw	OR	557,628
2011	Wallow	AZ	538,049
2004	Boundary	AK	538,261
2009	Minto Flats South (part of Railbelt Complex)	AK	517,078
2005	Southern Nevada Complex (17 fires)	NV	508,751
2002	Biscuit (formerly Florence)	OR	500,,068
2015	Tanana Area Fires (6 fires)	AK	498,043
2002	Rodeo/Chediski Complex  (2 fires)	AZ	468,638
2004	Billy Creek (part of Taylor Highway Complex)	AK	463,994
2012	Holloway	NV	460,850
2018	Mendocino Complex (2 fires)	CA	459,123
2009	Crazy Mountain Complex (4 fires)	AK	447,420
2018	Martin	NV	435,569
2015	Ruby Area or Middle Yukon Fires (8 fires)	AK	421,613
2018	Ranch (part of Mendocino Complex)	CA	410,203
2004	Pingo (part of Solstice Complex)	AK	403,993
2014	Buzzard Complex (3 fires)	OR	395,747
2007	Big Turnaround Complex (9 fires)	GA	386,722
2016	Anderson Creek	OK	367,740
2007	Milford Flat	UT	363,052
1999	Dun Glen Complex  (9 fires)	NV	361,658
2009	Little Black One (part of Crazy Mountain Complex)	AK	349,450
2004	Winter Trail (part of Solstice Complex)	AK	344,833
2012	Mustang Complex (7+ fires)	ID	341,448
2004	Chicken #1 (part of Taylor Highway Complex)	AK	320,155
2017	Perryton	TX	318,156
2012	Rush	CA	315,577
2011	Rock House	TX	314,444
2015	Big Creek Two (part of Ruby Area Fires)	AK	312,918
2002	Minchumina Group (4 fires)	AK	312,000
2011	Honey Prairie	GA	309,200
2019	Old Grouch Top	AK	307,969
2010	Long Butte	ID	306,113
2007	Cascade Complex (13 fires)	ID	302,376
2007	East Zone Complex (5 fires)	ID	300,022
2012	Whitewater- Baldy	NM	297,845
1999	Sadler Complex	NV	297,000
2000	Valley Complex (30 fires)	MT	292,070
2018	Rhea	OK	286,196
2004	Pingo	AK	285,885
2004	Porcupine (part of Taylor Highway Complex)	AK	284,595
2015	Soda	ID	283,180
2014	Saddle Draw (part of Buzzard Complex)	OR	281,141
2004	Winter Trail	AK	279,865
2003	Cedar	CA	273,246
2015	Sushgitit Hills	AK	270,747
2017	Thomas	CA	270,000
2017	Lodgepole Complex (3 fires)	MT	270,000
2002	Geskamina Lake	A	257,549
2013	Rim	CA	257,314
2014	Calton Complex (4 fires)	WA	256,108
2012	Ash Creek	MT	249,562
2005	Cave Creek Complex (4+ fires)	AZ	248,310
2004	Edwards Creek (part of Eagle Complex)	AK	243,900
2020	Frozen Calf	AK	240,543
2004	Preacher Creek (part of Central Complex)	AK	243,254
2007	Zaca Two	CA	240,207
2006	Winters	NV	238,458
2018	South Sugarloaf	NV	233,458
2018	Carr	CA	229,651
1999	Sadler Fire (4 fires)	NV	228,103
2002	Reindeer	CA	227,800
2006	Derby Fire	MT	223,570
2011	Horseshoe 2	AZ	222,954
2006	Crystal	ID	220,042
2008	Glass Fire	TX	219,556
2017	Roosters Comb	NV	218,380
2015	North Star	WA	218,138
2000	Clear Creek Complex (4 fires)	ID	216,961
2004	Wolf Creek	AK	214,868
2012	Kinyon Road	ID	210,874
2004	Bolgen (part of Central Complex)	AK	201,984
2013	Lime Hills	AK	201,808
1999	Sadler (part of Sadler Complex) 	NV	199,288
2015	Holtnakatna	AK	198,133
2007	Witch	CA	197,990
2002	Minchumina Group	AK	196,584
2014	Funny River	AK	195,858
2005	Clover	ID	192,846
2000	Eastern Idaho Complex (11 fires)	ID	192,450
2008	Klamath Theater (16 fires)	CA	192,038
2017	Chetco Bar	OR	191,125
2006	Charleston Complex (7 fires)	NV	190,421
2019	Hess Creek	AK	189,369
2016	Pioneer	ID	188,404
2000	SCF Wilderness	ID	182,600
2012	Halstead	ID	181.948
2007	Rowland (part of Murphy Complex)	ID	180,000
2001	Lakeview Complex (4 fires)	OR	179,400
2016	Range 12	WA	176,600
2004	Camp Creek	AK	175,815
2018	Klondike	OR	175,258
2006	Tripod Complex (2 fires)	WA	175,184
2011	Deaton Cole	TX	175,000
2010	Toklat	AK	171,727
2012	Rosebud Creek Complex (9 fires)	MT	171,444
1999	Corridor Complex (3 fires)	NV	171,600
2005	Delmar  (part of Southern Nevada Complex)	NV	170,089
2009	Big Creek	AK	169,639
2005	Beaver Creek	AK	167,766
2019	Swan Lake	AK	167,183
2000	Zitziana	AK	166,177
2015	Tunk Block	WA	165,883
2009	Titna River	AK	164,542
2009	Tonclonukna Creek	AK	164,318
2007	Winecup Complex (10 fires)	NV	163,767
2008	Basin Complex (3 fires)	CA	162,818
2006	Day	CA	162,702
2005	Chapman Creek	AK	162,670
2011	Cooper Mountain Ranch	TX	162,625
2000	Command 24	WA	162,500
2012	Miller Homestead	OR	160,853
2007	Bugaboo Scrub (part of Turnaround Complex)	GA	160,727
2009	Station	CA	160,577
2017	Rice Ridge	MT	160,187
2007	Elk Mountain (part of Murphy Complex)	ID	160,000
2017	Four Seasons Complex (3 fires)	NV	159,986
2011	Wildcat	TX	159,308
2015	Aniak Complex (3+ fires)	AK	157,783
2013	Moore Creek	AK	157,747
1999	Battle Mountain Complex (4 fires)	NV	156,958
2011	Las Conchas	NM	156,593
2017	Snowstorm (part of Four Seasons Complex)	NV	154,456
2018	Camp	CA	153,336
2017	West Mims	GA	152,515
2015	Rough	CA	151,623
2002	McNally	CA	150,696
2006	Sheep	NV	150,270
2013	Pony Complex (7 fires)	ID	149,384
2012	Trinity Ridge	ID	146,832
2005	Meadow Valley (part of Southern Nevada Complex)	NV	146,035
2015	Okanogan Complex  (multiple fires)	WA	145,282
2015	Rock	AK	142,637
2012	Flattop 2	ID	140,954
1999	Big Bar Complex (2 fires)	CA	140,948
2007	Egley Complex (6 fires)	OR	140,359
2013	Silver	NM	138,546
1999	Mule Butte	ID	138,220
2002	Hayman	CO	137,760
2000	Kate's Basin Complex (2 fires)	WY	137,600
2007	Antelope Complex (6 fires)	NV	136,778
2017	Lefors East	TX	135,000
2014	Happy Camp Complex (multiple fires)	CA	134,056
2018	Goose Creek	NV	132.200
2016	Soberanes	CA	132,127
2013	Elk Complex (2 fires)	ID	131,258
2012	Chalky (part of Rosebud Creek Complex)            	MT	131,000
2003	Missouri Breaks Complex (4 fires)	MT	130,927
2019	Bearnose Hill	AK	130,768
2006	Parks Hwy	AK	130,186
2013	Village (part of Elk Complex)	ID	129,730
2015	Isahultila	AK	128,617
2017	Diamond Creek	WA	128,272
2011	Pk Complex  (4 fires)	TX	126,734
2009	Nowitna	AK	126,582
2004	Gardiner Creek (part of Taylor Highway Complex)	AK	125,643
1999	Jungo Complex  (3 fires)	NV	125,480
2009	Wood River 1	AK	125,382
2000	Diamond Peak	ID	125,000
2006	Black Pulaski Complex (7 fires)	MT	124,905
2002	Blackjack Bay Complex (3 fires)	GA	124,492
2019	Woodbury	AZ	123,875
2007	Shower Bath Complex (2 fires)	ID	122,600
2011	Swenson	TX	122,500
2016	Hot Pot	NV	122,292
2004	Evansville	AK	122,000
2006	Pine Ridge Complex (3 fires)	MT	121,210
2002	Tool Box Complex (4 fires)	OR	120,085
2004	Willow	AZ	119,500
2006	South End Complex (3 fires)	OR	117,553
2005	Boundary Creek	AK	113,463
2016	Alatna Complex (2 fires)	AK	113,157
2015	Bering Creek (part of Tanana Area Fires)	AK	112,807
2019	Sheep	ID	112,106
2013	Beaver Creek	ID	111,490
2015	Sea	AK	111,193
2011	Indian Creek	NV	110,827
2017	Central LNU Complex (multiple fires)	CA	110,720
2015	Canyon Creek Complex (multiple fires)	OR	110,261
2000	Mule Dry	WA	110,000
2013	West Fork Complex (2 fires)	AK	109,615
2010	Jefferson	ID	109,436
2006	Columbia Complex (7 fires)	OR	109,259
2007	Florida Bugaboo (part of Big Turnaround Complex)	FL	108,574
2006	Amazon	NV	108,564
2003	Simi Incident	CA	108,304
2011	High Cascades	OR	108,154
2018	Spring Creek	CO	108,045
2012	Clay Springs	UT	107,846
2005	Sheenjek River	AK	107,240
2019	Black River	AK	107,078
2001	Survey Line	AK	106,800
2008	Iron & Alps Complexes (3+ complexes)	CA	105,805
2011	Southeast Texas Complex (20 fires)	TX	104,818
2015	Big Mud River 1	AK	103,170
2004	Deer Creek (part of Eagle Complex)	AK	103,092
2008	Dunn Mtn. Assist	MT	102,383
2018	Pole Creek	UT	102,191
2015	Cornet-Windy Ridge	OR	102,089
2007	Rattlesnake	ID	102,000
2011	Donaldson	NM	101,563
2019	North River	AK	101,451
2009	Rex Creek (part of Railbelt Complex)	AK	101,150
2015	Canyon Creek (part of Canyon Creek Complex)	OR	101,028
2006	Bar Complex (2+ fires)	CA	100,414
2018	Boxcar	OR	100,207
